parent,name,short_name,description,code,is_leaf
Лифты,Малые грузовые подъёмники (кухонные лифты),,,DWL,TRUE
Обслуживание фасада,Система мойки фасадов,,,BMU,TRUE
Обогрев,"Снеготаяние (кровля, пандусы, водостоки)",,,HT,TRUE
Транспорт,Зарядные станции для электромобилей,,,EVC,TRUE
Отходы,Мусороудаление,,,WM,TRUE
Благоустройство,Полив / ирригация,,,IRR,TRUE
Благоустройство,Фонтаны,,,WF,TRUE
Сервисы арендаторов,Навигация и цифровые вывески,,,DS,TRUE
Сервисы арендаторов,АВ и конференц-системы,,,AV,TRUE
Сервисы арендаторов,Бронирование переговорных,,,MRB,TRUE
Безопасность кровли,Анкерные линии / страховочные системы на кровле,,,FAP,TRUE
Наружные системы,Заградительные авиационные огни,,,AOL,TRUE
Логистика,"Погрузочная зона (доклевеллеры, герметизаторы)",,,LDE,TRUE
Благоустройство,Озеленение кровли / вертикальное озеленение,,,GRW,TRUE
Сервисы арендаторов,Постаматы / ячейки для посылок,,,SPL,TRUE
Входные группы,"Автоматические двери, ворота и роллеты",,,ADG,TRUE
